player1.cards.list,player2.cards.list,check
2800001728000009280000042600005526000018260000122600001126000007,2800000426000055260000412600003526000026260000152600001126000007,0
2800001728000009270000132700000126000074260000302600001326000010,2800000127000000260000602600004526000041260000402600002126000011,1
2800001728000008280000042700001226000064260000552600005126000042,2800000126000041260000402600003226000017260000162600001126000006,1
2800001728000006260000642600005526000049260000352600002126000010,2800000927000010260000412600004026000035260000142600001126000003,0
2800001728000004260000842600004926000036260000332600001826000015,2800000126000041260000402600003226000017260000162600001126000006,0
2800001728000003270000062600008026000043260000402600003726000010,2800001128000000270000002600003826000030260000212600001426000010,1
2800001728000003260000642600005626000055260000532600004226000016,2800001428000011270000002600006426000042260000212600001126000000,1
2800001728000002260000492600004226000041260000182600001126000006,2800001128000001270000062600006426000033260000242600001026000000,1
2800001728000001260001032600006426000046260000182600001026000007,2800000026000055260000412600004026000026260000212600001126000007,1
2800001728000001260000642600005126000042260000172600001326000004,2800001428000011270000002600006426000042260000212600001126000000,1
2800001728000001260000552600002126000012260000112600000726000004,2800000026000055260000412600004026000026260000212600001126000007,0
2800001728000000270000062700000226000084260000382600001426000010,2800001127000009260000642600004926000038260000202600001526000013,1
2800001728000000270000062700000226000084260000382600001426000010,2800001128000008280000042600004126000040260000112600001026000004,1
2800001728000000270000022600004026000034260000322600003026000025,2800000526000055260000492600004126000040260000262600002126000012,1
2800001728000000260000972600006226000055260000412600003726000004,2800000927000010260000412600004026000035260000142600001126000003,1
2800001727000009260001032600006426000035260000122600000626000004,2800001128000000260000642600005626000055260000492600004126000018,0
2800001727000008270000022600004926000040260000382600003026000010,2800001128000004260000422600003426000026260000232600001826000000,1
2800001727000003260000382600003226000014260000112600001026000006,2800000827000009260000512600003726000015260000142600001226000011,0
2800001726000085260000642600006226000055260000492600001126000008,2800001128000008270000062600006426000054260000462600000426000000,1
2800001726000063260000562600005526000049260000412600004026000032,2800000426000055260000412600003526000026260000152600001126000007,1
2800001726000061260000472600004326000037260000152600000626000001,2800000127000000260000602600004526000041260000402600002126000011,1
2800001628000011260000382600003626000035260000302600002826000010,2800001127000000260000632600005526000030260000212600001926000002,0
2800001628000008280000022700000626000055260000432600004226000027,2800001128000001270000062600006426000033260000242600001026000000,1
2800001628000001270000012600005826000044260000432600002726000013,2800001128000008260000312600002726000018260000152600001226000001,1
2800001626000084260000312600003026000019260000132600001026000002,2800001128000008280000042600004326000042260000212600001126000007,1
2800001528000012280000102800000927000009260000872600001726000000,2800000727000010260000552600005126000049260000432600001326000007,1
2800001528000012280000102800000927000009260000232600001526000011,2800001128000004280000002700000226000064260000552600001726000000,1
2800001528000012280000102800000927000009260000232600001526000011,2800001128000004280000002700000226000064260000552600001726000000,1
2800001528000012280000102800000927000009260000232600001526000000,2800001228000008260000452600004226000034260000212600001226000000,1
2800001528000012280000102800000927000009260000232600001526000000,2800001128000004280000002700000226000064260000552600001726000000,1
2800001528000012280000102800000927000001260000232600001526000000,2800001428000011270000002600006426000042260000212600001126000000,0
2800001528000012280000102800000927000000260000452600003026000011,2800000128000000260000492600004126000037260000292600001226000006,0
2800001528000012280000102800000927000000260000452600003026000011,2800001228000001260000872600006326000035260000272600001526000009,1
2800001528000012280000052600006326000037260000352600003426000006,2800000526000055260000492600004126000040260000262600002126000012,1
2800001528000012280000052600006326000035260000232600000626000004,2800001128000004280000032700000326000041260000302600002626000000,0
2800001528000012280000052600003726000035260000342600001526000006,2800001128000008270000062600010326000064260000402600003026000021,1
2800001528000012280000052600003726000035260000342600001526000006,2800001128000004260000422600003426000026260000232600001826000000,0
2800001528000012280000002600006426000049260000472600003626000023,2800001128000004260000422600003426000026260000232600001826000000,1
2800001528000010280000092700000126000030260000192600000726000000,2800001127000000260000632600005526000030260000212600001926000002,1
2800001528000009270000122600007426000064260000372600002126000010,2800001128000000260000642600005626000055260000492600004126000018,0
2800001528000008280000052800000026000035260000182600001726000006,2800001128000000270000002600003826000030260000212600001426000010,0
2800001528000008280000042800000026000044260000162600000126000000,2800000127000000260000602600004526000041260000402600002126000011,0
2800001528000008280000042600005526000049260000172600001226000011,2800000827000006260000552600003126000023260000212600000726000000,0
2800001528000008270000062600005526000042260000212600001826000015,2800001126000064260000552600004926000041260000212600001826000011,0
2800001528000008260000672600004526000019260000052600000326000000,2800000828000000260000552600004926000038260000372600002526000021,1
2800001528000008260000512600004626000042260000402600001526000000,2800001128000008260000312600002726000018260000152600001226000001,1
2800001528000008260000372600003526000023260000122600001126000006,2800000126000041260000402600003226000017260000162600001126000006,0
2800001528000007270000092600006126000049260000442600003026000024,2800000026000055260000412600004026000026260000212600001126000007,0
2800001528000004280000012700000626000040260000342600000726000000,2800000528000001260000402600002526000021260000122600000726000000,0
2800001528000004280000012600006426000055260000402600002326000011,2800001128000000270000002600003826000030260000212600001426000010,1
2800001528000004280000012600005526000018260000172600000726000005,2800001028000009280000052700000926000042260000342600001526000000,0
